CAD_E|CASBY15015163//10/8/2015 12:11:09 AM
CAD_E|CASBY15015163//10/8/2015 12:11:24 AM
CAD_E|CASBY15015178|CASLU||20151008004544|FSCA|FIRE, COMMERCIAL ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6|||||Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:45:44 AM
CAD_E|CASBY15015178|CASLU||20151008004544|FSCA|FIRE, COMMERCIAL ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6|||||Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:45:46 AM
CAD_E|CASBY15015178|CASLU2015010561|LOS OLIVOS AVE  LOS_OSOS|20151008004544|FSCA|FIRE, COMMERCIAL ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6||||ME15|Command:BAY CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:45:53 AM
CAD_E|CASBY15015178|CASLU2015010561|LOS OLIVOS AVE  LOS_OSOS|20151008004544|FSCA|FIRE, COMMERCIAL ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6||||ME15|Command:BAY CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:45:53 AM
CAD_U|CASBY|ME15|DSP|20151008004553|B-15A|15015178|FSCA|CASLU2015010561//10/8/2015 12:45:53 AM
CAD_E|CASBY15015178|CASLU2015010561|LOS OLIVOS AVE  LOS_OSOS|20151008004544|FSCA|FIRE, COMMERCIAL ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6||||ME15|Command:BAY CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:47:43 AM
CAD_E|CASBY15015178|CASLU2015010561|LOS OLIVOS AVE  LOS_OSOS|20151008004544|FSCA|FIRE, COMMERCIAL ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6|||||Command:BAY CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:47:47 AM
CAD_E|CASBY15015178|CASLU2015010561|LOS OLIVOS AVE  LOS_OSOS|20151008004544|FSCA|FIRE, COMMERCIAL ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6|||||Command:BAY CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:47:47 AM
CAD_U|CASBY|ME15|AIQ|20151008004747|B-15A|||//10/8/2015 12:47:47 AM
CAD_E|CASBY15015178|CASLU2015010561|LOS OLIVOS AVE  LOS_OSOS|20151008004544|FSCA|FIRE, COMMERCIAL ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6|||||Command:BAY CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:47:49 AM
CAD_E|CASBY15015178|CASLU2015010561|LOS OLIVOS AVE  LOS_OSOS|20151008004544|FFA|FIRE, FALSE ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6|||||Command:BAY CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:47:53 AM
CAD_E|CASBY15015178|CASLU2015010561|LOS OLIVOS AVE  LOS_OSOS|20151008004544|FFA|FIRE, FALSE ALARM|-120.831015|35.313170|1101 LOS OLIVOS AVE |LOS_OSOS|2099 BLK 11TH ST|2101 BLK FAIRCHILD WAY|631_H_6|||||Command:BAY CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 12:48:00 AM
CAD_E|CASBY15015178//10/8/2015 12:48:01 AM
CAD_E|CASBY15015178//10/8/2015 12:48:17 AM
CAD_E|CASLU15015179|CASLU||20151008010001|OAM|OTH, MISCELLANEOUS|-120.676175|35.301597|12 @ 635 N SANTA ROSA ST |SLO_CO| CAL FIRE SLU HEADQUARTERS DRIVEWAY| STENNER CREEK|653_H_1|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G 1;//10/8/2015 1:00:01 AM
