CAD_U|CASLC|ME42|RTQ|20140802233948|I-11A|14009707|FOD|CASLU2014006895//8/3/2014 12:04:47 AM
CAD_U|USPVT|DDUSI|AIQ|20140803001209|A-36B|||//8/3/2014 12:12:09 AM
CAD_U|USPVT|DDUSI|OFF//8/3/2014 12:12:54 AM
CAD_U|USPVT|DDUSI|AIQ|20140803001302|A-36J|||//8/3/2014 12:13:02 AM
CAD_U|USPVT|DDUSI|AIQ|20140803001302|A-36J|||//8/3/2014 12:13:13 AM
CAD_E|CACAY14009707//8/3/2014 12:14:46 AM
CAD_U|CASLC|ME42|AIQ|20140803001446|I-11A|||//8/3/2014 12:14:46 AM
CAD_E|CACAY14009707//8/3/2014 12:15:01 AM
CAD_E|CACAY14009707|CASLU2014006895|GARVEY|20140802230330|FOD|FIRE, DEBRIS|-119.960650|35.275011|14750 GARVEY RD |CAY|11700 BLK CRESTA BLANCA TRL| CRESTLINE TRL|591_C_5|||||Command:LOCAL;Pri Tactical:CDF TAC3;Alt Tactical:CDF TAC8;Air-to-Ground:CDF A/G;//8/3/2014 12:24:09 AM
CAD_E|CACAY14009707|CASLU2014006895|GARVEY|20140802230330|FOD|FIRE, DEBRIS|-119.960650|35.275011|14750 GARVEY RD |CAY|11700 BLK CRESTA BLANCA TRL| CRESTLINE TRL|591_C_5|||||Command:LOCAL;Pri Tactical:CDF TAC3;Alt Tactical:CDF TAC8;Air-to-Ground:CDF A/G;//8/3/2014 12:24:15 AM
CAD_E|CACAY14009707|CASLU2014006895|GARVEY|20140802230330|FOD|FIRE, DEBRIS|-119.962490|35.275932|11675 CUCAMONGA TRL |CAY|14699 BLK CORNELL RD|14700 BLK GARVEY RD|591_C_5|||||Command:LOCAL;Pri Tactical:CDF TAC3;Alt Tactical:CDF TAC8;Air-to-Ground:CDF A/G;//8/3/2014 12:24:28 AM
CAD_E|CACAY14009707//8/3/2014 12:24:32 AM
CAD_E|CACAY14009707//8/3/2014 12:24:48 AM
CAD_U|CABEU|E4674|AIQ|20140729092323|BEU-35|||//8/3/2014 12:27:21 AM
CAD_U|CABEU|E4674|AIQ|20140729092323|BEU-35|||//8/3/2014 12:27:21 AM
CAD_E|CASLU14009704|CASKU2014005644|SKU LITTLE DEER|20140802113710|FWL|FIRE, WILDLAND|-122.190278|41.635000|SEE INCIDENT LOCATION DESCRIPTION||||||||DT3441|Command:USFS SAGE          01;Pri Tactical:NIFC TAC 2         01;Alt Tactical: ;Air-to-Ground:ROSSFREQ03         01;//8/3/2014 12:55:36 AM
CAD_U|CASLU|DT3441|ENR|20140803000000|K-11A|14009704|FWL|CASKU2014005644//8/3/2014 12:55:36 AM
CAD_U|CASLU|DT3441|ENR|20140803000000|K-11A|14009704|FWL|CASKU2014005644//8/3/2014 12:55:36 AM
CAD_U|CALPF|AA07|AIQ|20140722173643|SMAAB|||//8/3/2014 1:00:02 AM
CAD_U|CACDF|AA340|AIQ|20140731110813|R-8A|||//8/3/2014 1:00:03 AM
CAD_U|CACDF|AA460|AIQ|20130809105458|HAAB|||//8/3/2014 1:00:04 AM
CAD_U|CACDF|AA504|AIQ|20140801003733|R-8A|||//8/3/2014 1:00:05 AM
CAD_U|CASLC|AIRPMGR|AIQ|20140716130941|A-36A|||//8/3/2014 1:00:06 AM
CAD_U|CASLU|AMB-X1|AIQ|20140729180438|A-22B|||//8/3/2014 1:00:07 AM
CAD_U|CASLU|AMB-X2|AIQ|20140716110045|A-22B|||//8/3/2014 1:00:08 AM
CAD_U|CASLC|B21|AIQ|20130620185946|A-22A|||//8/3/2014 1:00:10 AM
CAD_U|CASLC|B30|AIQ|20131121193744|R-17A|||//8/3/2014 1:00:11 AM
CAD_U|CAMVU|B3319|AIQ|20140731212721|A-36I|||//8/3/2014 1:00:12 AM
CAD_U|CASLC|B34|AIQ|20130815153955|NACI4A||OUT|//8/3/2014 1:00:13 AM
CAD_U|CASLU|B3412|AOR|20140802161231|A-36I|||//8/3/2014 1:00:14 AM
CAD_U|CASLU|B3414|AOR|20140802185247|TULLY|||//8/3/2014 1:00:15 AM
CAD_U|CACMB|B57|AIQ|20140216123209|G-16B|||//8/3/2014 1:00:16 AM
CAD_U|CASLC|B62|AIQ|20140714224933|A-24C|||//8/3/2014 1:00:17 AM
