CAD_E|CASLC15004375|CASLU2015003055|EMS3CDF/|20150328234427|MED|MEDICAL AID CODE 3|-120.696815|35.578047|2808 RAMADA DR #112 ||200 BLK EASY ST|51 BLK MARQUITA AVE|633_B_5/633_B_5||||E30,7135|Command:RIVER CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/29/2015 12:08:17 AM
CAD_E|CASLC15004375|CASLU2015003055|EMS3CDF/|20150328234427|MED|MEDICAL AID CODE 3|-120.696815|35.578047|2808 RAMADA DR #112 ||200 BLK EASY ST|51 BLK MARQUITA AVE|633_B_5/633_B_5||||E30,7135|Command:RIVER CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/29/2015 12:08:17 AM
CAD_U|CATEM|R7155|OFF//3/29/2015 12:08:17 AM
CAD_E|CASLC15004375|CASLU2015003055|EMS3CDF/|20150328234427|MED|MEDICAL AID CODE 3|-120.696815|35.578047|2808 RAMADA DR #112 ||200 BLK EASY ST|51 BLK MARQUITA AVE|633_B_5/633_B_5||||E30,7135|Command:RIVER CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/29/2015 12:10:02 AM
CAD_U|CASLC|E30|ONS|20150328235000|R-17A|15004375|MED|CASLU2015003055//3/29/2015 12:10:02 AM
CAD_E|CASLC15004375|CASLU2015003055|EMS3CDF/|20150328234427|MED|MEDICAL AID CODE 3|-120.696815|35.578047|2808 RAMADA DR #112 ||200 BLK EASY ST|51 BLK MARQUITA AVE|633_B_5/633_B_5||||E30,7135|Command:RIVER CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/29/2015 12:12:46 AM
CAD_U|CATEM|7135|ONS|20150328235240|T-5B|15004375|MED|CASLU2015003055//3/29/2015 12:12:46 AM
CAD_E|CASLC15004375|CASLU2015003055|EMS3CDF/|20150328234427|MED|MEDICAL AID CODE 3|-120.696815|35.578047|2808 RAMADA DR #112 ||200 BLK EASY ST|51 BLK MARQUITA AVE|633_B_5/633_B_5||||E30,7135|Command:RIVER CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/29/2015 12:19:09 AM
CAD_U|CATEM|7135|RTQ|20150329001909|T-5B|15004375|MED|CASLU2015003055//3/29/2015 12:19:09 AM
CAD_U|CASLC|E30|RTQ|20150329001909|R-17A|15004375|MED|CASLU2015003055//3/29/2015 12:19:09 AM
CAD_E|CASLC15004375|CASLU2015003055|EMS3CDF/|20150328234427|MED|MEDICAL AID CODE 3|-120.696815|35.578047|2808 RAMADA DR #112 ||200 BLK EASY ST|51 BLK MARQUITA AVE|633_B_5/633_B_5||||E30|Command:RIVER CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/29/2015 12:19:11 AM
CAD_E|CASLC15004375|CASLU2015003055|EMS3CDF/|20150328234427|MED|MEDICAL AID CODE 3|-120.696815|35.578047|2808 RAMADA DR #112 ||200 BLK EASY ST|51 BLK MARQUITA AVE|633_B_5/633_B_5||||E30|Command:RIVER CMD;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/29/2015 12:19:11 AM
CAD_U|CATEM|7135|OFF//3/29/2015 12:19:11 AM
