CAD_E|CASLC14014869|CASLU2014010525|EMS3CDF/|20141120233615|MED|MEDICAL AID CODE 3|-120.569234|35.071737|2172 HALCYON RD || FAIR LEE FARM LN|600 BLK MULLIGAN LN|633_B_5/633_B_5|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:01:25 AM
CAD_E|CASLC14014869|CASLU2014010525|EMS3CDF/|20141120233615|MED|MEDICAL AID CODE 3|-120.569234|35.071737|2172 HALCYON RD || FAIR LEE FARM LN|600 BLK MULLIGAN LN|633_B_5/633_B_5|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:01:25 AM
CAD_U|CASLC|ME22|AOR|20141121000125|N-3A|||//11/21/2014 12:01:25 AM
CAD_E|CASLC14014870|CASLU2014010526|EMS2CDF/|20141120234443|MEDC2|MED, CODE 2|-120.575184|35.064224|2258 TATTLER ST ||2250 BLK BRANT ST|2299 BLK DUNLIN WAY|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:06:11 AM
CAD_E|CASLC14014869//11/21/2014 12:08:10 AM
CAD_E|CASLC14014870|CASLU2014010526|EMS2CDF/|20141120234443|MEDC2|MED, CODE 2|-120.575184|35.064224|2258 TATTLER ST ||2250 BLK BRANT ST|2299 BLK DUNLIN WAY|633_B_5/633_B_5||||ME20,ME22|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:08:17 AM
CAD_E|CASLC14014870|CASLU2014010526|EMS2CDF/|20141120234443|MEDC2|MED, CODE 2|-120.575184|35.064224|2258 TATTLER ST ||2250 BLK BRANT ST|2299 BLK DUNLIN WAY|633_B_5/633_B_5||||ME20,ME22|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:08:17 AM
CAD_U|CASLC|ME22|ENR|20141121000817|N-3A|14014870|MEDC2|CASLU2014010526//11/21/2014 12:08:17 AM
CAD_U|CASLC|ME22|ENR|20141121000817|N-3A|14014870|MEDC2|CASLU2014010526//11/21/2014 12:08:17 AM
CAD_E|CASLC14014869//11/21/2014 12:08:26 AM
CAD_U|CASLC|ME20|ENR|20141120234916|E-19B|14014870|MEDC2|CASLU2014010526//11/21/2014 12:09:20 AM
CAD_E|CASLC14014870|CASLU2014010526|EMS2CDF/|20141120234443|MEDC2|MED, CODE 2|-120.575184|35.064224|2258 TATTLER ST ||2250 BLK BRANT ST|2299 BLK DUNLIN WAY|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:13:31 AM
CAD_U|CASLC|ME22|AOR|20141121001330|N-3A|||//11/21/2014 12:13:31 AM
CAD_E|CASLC14014870|CASLU2014010526|EMS2CDF/|20141120234443|MEDC2|MED, CODE 2|-120.575184|35.064224|2258 TATTLER ST ||2250 BLK BRANT ST|2299 BLK DUNLIN WAY|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:14:06 AM
CAD_U|CASLC|ME20|ONS|20141121001406|E-19B|14014870|MEDC2|CASLU2014010526//11/21/2014 12:14:07 AM
CAD_U|CASLC|ME22|AIQ|20141121002241|N-3A|||//11/21/2014 12:22:42 AM
CAD_U|CASLC|P22|AIQ|20141118002622|N-3A|||//11/21/2014 12:22:42 AM
CAD_E|CASLC14014870|CASLU2014010526|EMS2CDF/|20141120234443|MEDC2|MED, CODE 2|-120.575184|35.064224|2258 TATTLER ST ||2250 BLK BRANT ST|2299 BLK DUNLIN WAY|633_B_5/633_B_5||||ME20|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:29:04 AM
CAD_U|CASLC|ME20|RTQ|20141121002903|E-19B|14014870|MEDC2|CASLU2014010526//11/21/2014 12:29:04 AM
CAD_E|CAOCE14014871|CASLU||20141121003728|OAR|OTH, REFERRAL|-120.614124|35.102875|1524 15TH ST |OCE|1300 BLK RICE ST|1600 BLK WARNER ST|714_F_7|||||Command:SOUTH CMDA;Pri Tactical:CALCORD;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//11/21/2014 12:37:28 AM
CAD_E|CAOCE14014871|CASLU||20141121003728|OAR|OTH, REFERRAL|-120.614124|35.102875|1524 15TH ST |OCE|1300 BLK RICE ST|1600 BLK WARNER ST|714_F_7|||||Command:SOUTH CMDA;Pri Tactical:CALCORD;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//11/21/2014 12:37:51 AM
CAD_E|CAOCE14014871|CASLU||20141121003728|OAR|OTH, REFERRAL|-120.614124|35.102875|1524 15TH ST |OCE|1300 BLK RICE ST|1600 BLK WARNER ST|714_F_7|||||Command:SOUTH CMDA;Pri Tactical:CALCORD;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//11/21/2014 12:38:35 AM
CAD_E|CAOCE14014871//11/21/2014 12:38:39 AM
CAD_E|CAOCE14014871//11/21/2014 12:38:54 AM
CAD_E|CASLC14014870|CASLU2014010526|EMS2CDF/|20141120234443|MEDC2|MED, CODE 2|-120.575184|35.064224|2258 TATTLER ST ||2250 BLK BRANT ST|2299 BLK DUNLIN WAY|633_B_5/633_B_5|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//11/21/2014 12:43:44 AM
